risk_id,opened_at,owner,severity,risk,mitigation,state
R-0001,2026-08-28,track-upstream,HIGH,"upstream main already contains unreleased changes beyond v1.2.1","pin release commit; scan and diff separately; never merge reference remotes",OPEN
R-0002,2026-08-28,program-integrator,MEDIUM,"new Fork main initially points to upstream main rather than stable release","publish an explicit release-based FilmOS baseline and record rollback ref",MITIGATING
R-0003,2026-08-28,track-film-core,HIGH,"duplicate DTO or status enums can diverge across Go TypeScript MCP and Film Core","single JSON Schema/OpenAPI source; contract tests; owner-only shared changes",OPEN
R-0004,2026-08-28,program-integrator,MEDIUM,"14 tracks exceed current simultaneous agent slots","create all worktrees now and rotate bounded agents without sharing branches",OPEN
R-0005,2026-08-28,track-qa,MEDIUM,"native dependency installation and full test duration are not yet known","inventory locks and scripts before running smallest sufficient baseline tests",OPEN
R-0006,2026-08-28,track-remote,HIGH,"Hybrid could upload unpublished local assets","default flags disabled; publish plan requires explicit selection and approval",OPEN
R-0007,2026-08-28,track-desktop,HIGH,"V6.1 assumes an existing Swift/AppKit shell but v1.2.1 contains no desktop directory or Swift source","classify as BUILD after checking historical/reference evidence; keep web and service launch paths reusable",OPEN
R-0008,2026-08-28,track-director,MEDIUM,"3D director source exists but no dedicated director-named test was found in release inventory","inspect indirect tests and add focused regression coverage before extension",OPEN
R-0009,2026-08-28,track-remote,HIGH,"existing user-data remote sync is not the Film authority model","do not relabel it as Hybrid truth; design explicit authority and publish preview under disabled flag",OPEN
R-0010,2026-08-28,track-qa,MEDIUM,"local Bun 1.4.0 differed from CI-pinned 1.3.9; Bun 1.3.9 compiled Review Bus without node:sqlite support","pin all CI workflows to Bun 1.4.0 and fail formal Desktop packaging unless the node:sqlite capability probe passes",CLOSED
R-0011,2026-08-28,track-qa,MEDIUM,"web build contains existing chunks above 500 kB and no browser performance evidence","record baseline; establish budgets and browser measurements before Beta",OPEN
R-0012,2026-08-28,track-upstream,HIGH,"current upstream Candidate contains model and migration changes and fails an S3 DNS-dependent native test","keep D gate; do not merge until native tests and migration/Golden rehearsal pass",OPEN
R-0013,2026-08-28,program-integrator,MEDIUM,"apply_patch defaults to the primary worktree even when command workdir points at another worktree","require explicit ../wt-*/ paths and verify both primary and target status after each edit; erroneous Track03 draft was removed before commit",MITIGATED
