evidence_id,track,observed_at,subject,source,method,finding,content_hash,state
EV-0001,00,2026-08-28T02:16:08+08:00,latest stable release,https://github.com/ddcat-ai/open-ai-canvas/releases/tag/v1.2.1,GitHub release API,"v1.2.1; draft=false; prerelease=false; published 2026-08-26",61b332583c4fcbf71890ae67e3f0f104d67706b9,VERIFIED
EV-0002,00,2026-08-28T02:16:08+08:00,upstream main,upstream-yingce/main,git fetch and rev-parse,"main is ahead of release and is not the product baseline",4ee5b630edfbd6da1e41b98ef1d2f3b1184c345a,VERIFIED
EV-0003,00,2026-08-28T02:16:08+08:00,tigerowo reference,reference-tigerowo/main,git fetch and rev-parse,"reference remote reachable",57b13aa1a2d7439955b0e65abe742bc7144df32f,VERIFIED
EV-0004,00,2026-08-28T02:16:08+08:00,basket reference,reference-basket/main,git fetch and rev-parse,"reference remote reachable",ed013e8e5ce8ccab47cf2fc779f8e94555eb4c23,VERIFIED
EV-0005,02,2026-08-28T02:16:08+08:00,host film objects,backend/internal/model/models_project.go,source inspection,"Project Unit CanvasUnitLink Shot Asset Version Representation Workflow objects exist",61b332583c4fcbf71890ae67e3f0f104d67706b9,VERIFIED
EV-0006,02,2026-08-28T02:16:08+08:00,host database registry,backend/internal/database/schema.go,source inspection,"host tables use the shared Models list and AutoMigrate",61b332583c4fcbf71890ae67e3f0f104d67706b9,VERIFIED
EV-0007,08,2026-08-28T02:16:08+08:00,host MCP schema,canvas-agent/src/schemas.ts,source inspection,"canvas and project tools exist; canvas writes support expectedRevision and expectedStateHash",61b332583c4fcbf71890ae67e3f0f104d67706b9,VERIFIED
EV-0008,PI,2026-08-28T02:28:00+08:00,track isolation,git worktree list and branch refs,git verification,"14 track worktrees exist on distinct remote-tracking branches based on integration f3a1bc92",f3a1bc925aca081816d1771f451b5d4cfcec6b76,VERIFIED
EV-0009,01,2026-08-28T02:30:00+08:00,native macOS host,current release tree,source inventory,"desktop directory absent and Swift file count is zero; web workspace shell design exists",61b332583c4fcbf71890ae67e3f0f104d67706b9,VERIFIED
EV-0010,10,2026-08-28T02:30:00+08:00,Dreamina runtime,"canvas-agent; web/src",source inventory,"38 Dreamina-named runtime client and test files exist",61b332583c4fcbf71890ae67e3f0f104d67706b9,VERIFIED
EV-0011,10,2026-08-28T02:30:00+08:00,Comfy bridge,"backend; canvas-agent; web/src",source inventory,"12 Comfy-named bridge service UI and native files exist",61b332583c4fcbf71890ae67e3f0f104d67706b9,VERIFIED
EV-0012,09,2026-08-28T02:30:00+08:00,3D director,current release web/src,source inventory,"10 director or 3D-named source files exist; no dedicated director-named test file was found",61b332583c4fcbf71890ae67e3f0f104d67706b9,VERIFIED
EV-0013,10,2026-08-28T02:30:00+08:00,Flova integration,current release production paths,source search,"no Flova reference found outside plan and implementation artifacts",61b332583c4fcbf71890ae67e3f0f104d67706b9,VERIFIED
EV-0014,12,2026-08-28T02:30:00+08:00,remote authority,current release production paths,source search,"web user-data remote sync helpers exist; Film LOCAL/REMOTE/HYBRID authority enums are absent",61b332583c4fcbf71890ae67e3f0f104d67706b9,VERIFIED
EV-0015,00,2026-08-28T02:48:06+08:00,upstream compatibility gate,track/upstream d4feb422,unit and real diff execution,"5 tests passed; static overall C; Candidate native gate D due upstream S3 DNS-dependent test",d4feb422b05ab590f52b7b7dfd9e587097b018bf,VERIFIED
EV-0016,13,2026-08-28T02:48:06+08:00,native release baseline,track/qa d1501d32,backend web and canvas-agent native commands,"backend passed; web 471/0 and build passed; agent 316/0 with 5 Windows skips and build passed",d1501d32b33f1ca3dc5be22d9f4e3a58494b64c6,VERIFIED
EV-0017,13,2026-08-28T02:48:06+08:00,Golden A offline contract,tests/film-golden,Python unittest and runner,"4 tests passed; Candidate precedes Approved; external calls zero; checked-in real state remains NOT_RUN",2086f1cf8fda53e32215aa3f88d3c294071e2984,VERIFIED
EV-0018,PI,2026-08-28T02:48:06+08:00,first integration gate,integration 2086f1cf,post-cherry-pick targeted tests,"Track00 5 tests; Film Contract; Golden A 4 tests and runner; offline compatibility C all passed as designed",2086f1cf8fda53e32215aa3f88d3c294071e2984,VERIFIED
EV-0019,02,2026-08-28T02:59:40+08:00,Film Core V0,track/film-core 4f8f4fc6,source review plus pytest and compileall,"SQLite WAL sidecar; UUIDv4; six axes; optimistic concurrency; atomic append-only audit; 10 tests passed",4f8f4fc6,VERIFIED
EV-0020,PI,2026-08-28T02:59:40+08:00,Film Core integration,integration 37948ef8,post-cherry-pick contract core and Golden targeted gates,"contract 12 paths with 8 implemented and 4 planned; core 10/0; Golden A mock 4/0; external calls zero",37948ef8f1aa628ea79fbe7cbd2f0b5ab6cab98f,VERIFIED
EV-0021,03,2026-08-28T03:15:00+08:00,Project UI Film projection,track/project-ui 431ebef2,source review and integration tests,"default-off Host projection; strict Core UUID/hash/project mapping; shared enum sync; 7 tests passed",431ebef2,VERIFIED
EV-0022,04,2026-08-28T03:15:00+08:00,Story domain,track/story 83efdee2,source review and integration tests,"exact dialogue fidelity; human hash-bound lock; expected version; 9 tests passed; no formal writes",83efdee2,VERIFIED
EV-0023,05,2026-08-28T03:15:00+08:00,Production Canvas projection,track/production-canvas 0fc93f6f,source review and integration tests,"default-off ID-only projection; duplicate production link conflict; UUID/hash/revision gates; 7 tests passed",0fc93f6f,VERIFIED
EV-0024,01,2026-08-28T03:15:00+08:00,Desktop core,track/desktop fc1628f2,debug release and Swift tests,"workspace and service supervisor core; canonical symlink containment; 14 tests passed; no service launched",fc1628f2,VERIFIED
EV-0025,PI,2026-08-28T03:15:00+08:00,second feature integration,integration 6e32b682,post-cherry-pick targeted gates,"Film Web 23/0 plus typecheck and production build; Desktop debug/release plus 14/0; all new features default off",6e32b682931bebb38ef99ddbe29002cfe8efbb89,VERIFIED
EV-0026,06,2026-08-28T03:40:00+08:00,Asset Lock and VisualLock,track/assets 66bdd770,source review and integration tests,"default-off stable bindings; Candidate and Approved separate; canonical VisualLock hash and precise STALE propagation; 10 tests passed",66bdd7703765e9197b9e86bcbc3f8c4a9de5ed23,VERIFIED
EV-0027,07,2026-08-28T03:40:00+08:00,PromptDraft compiler,track/prompt cdda6d54,source review and integration tests,"default-off deterministic compiler; hash/version/capability gates; no submission path; Flova unverified fails closed; 8 tests passed",cdda6d541f545c39a4d4a0f760cb3d7b6c3ed7ab,VERIFIED
EV-0028,09,2026-08-28T03:40:00+08:00,Director continuity projection,track/director 04e23008,source review and integration tests,"many-to-many coverage; spatial interaction continuity gates; projection only; ObjectID missing not implemented; 9 tests passed",04e2300801a8a8e51c1129dd423cac6773a7c36b,VERIFIED
EV-0029,08,2026-08-28T03:40:00+08:00,Film Agent offline gateway,track/agent 92aa84b8,source review targeted and native regression,"default-off read-preview-apply guards; Agent approval denial; Human Only confirmation audit; 13 targeted and native 328/0 with 5 Windows skips; actual MCP not registered",92aa84b860afaf3b80322bfb90c5bffc29fec758,VERIFIED
EV-0030,11,2026-08-28T03:40:00+08:00,Migration sandbox preview,track/migration b88305f4,source review unittest and compileall,"marker-bound default-off inventory manifest export verify and rollback plan; 8 tests passed; no database or real user data opened",b88305f4e08b972f709b021c2780cdab707e50c8,VERIFIED
EV-0031,10,2026-08-28T03:40:00+08:00,Provider local package and import,track/providers 98a57174,source review integration and adjacent tests,"11 tests passed; package remains not submitted; manual result becomes Candidate only; Dreamina image/video and Comfy source reuse only; Flova deferred",98a5717427f2faf1a70eff3a1e948c5e919a83a1,VERIFIED
EV-0032,12,2026-08-28T03:40:00+08:00,Remote authority preview,track/remote df07883e,source review integration tests and fixed manifest,"8 tests and 48 assertions passed; preview only; network actions zero; local assets never implicitly uploaded; remote results Candidate only",df07883ef58904ed110c6abd3eb51d884b2ad561,VERIFIED
EV-0033,PI,2026-08-28T03:40:00+08:00,all-track first-slice integration,integration 01f27364,consolidated current-head gates,"Film Web 69/0 and 189 assertions plus typecheck and production build; Film Core 10/0; Contracts pass; Golden A Mock 4/0; migration 8/0; external calls zero",01f2736426e4b7cbafe7a9dfe51c9e69ef803a94,VERIFIED
EV-0034,02,2026-08-28T09:58:18+08:00,Stage2 formal production core,integration 58ea0ce7,pytest contracts compileall and source review,"14 formal record types; UUIDv4; aggregate/raw hash separation; Human-only Script Lock and Approval; 21 core tests passed before CORS extension",58ea0ce7,VERIFIED
EV-0035,08,2026-08-28T09:58:18+08:00,registered Film MCP,integration 31503b52,real MCP SDK and temporary Sidecar HTTP,"default and canvasOnly add zero Film tools; explicit enable adds exactly five; stale guards and Agent approval denial passed",31503b52,VERIFIED
EV-0036,03,2026-08-28T09:58:18+08:00,default-off Web production entry,integration 4eb0ab39,Web tests typecheck build and local slice,"two flags plus local Core health required; unique production projection; duplicate conflict; missing relation preview only; no external call",4eb0ab39,VERIFIED
EV-0037,13,2026-08-28T09:58:18+08:00,real HTTP Golden A,integration e6cc69ec,temporary FastAPI SQLite HTTP end-to-end,"Project through Human Approval passed without Mock fallback; prepared persisted reviewed approved are distinct; external calls zero",e6cc69ec,VERIFIED
EV-0038,PI,2026-08-28T09:58:18+08:00,browser entry CORS and rollback,integration 9cc6b92b,Playwright CLI against temporary Host and Film Core,"loopback CORS defect fixed; health 200 with exact Origin; enabled Film entry and preview visible; disabled Film DOM absent; Core 37/0",9cc6b92b,VERIFIED
EV-0039,02,2026-08-28T10:49:30+08:00,Stage3 Impact and precise STALE,integration bac96e10,OpenAPI SQLite tests and source review,"ScriptStructureMap ImpactEdge read query atomic propagation unresolved changes idempotency and append-only audit; Core 44/0",bac96e10,VERIFIED
EV-0040,13,2026-08-28T10:49:30+08:00,real Golden B,integration 656568c6,temporary FastAPI SQLite HTTP end-to-end,"three-speaker many-to-many continuity approved character costume locks and precise Cue/Costume STALE passed; fallback false; external calls zero",656568c6,VERIFIED
EV-0041,04,2026-08-28T10:49:30+08:00,Story Review preview,integration 6d77ee70,Web tests and Playwright CLI,"default-off nonformal snapshot exact text hash cue and section diff; no fake formal lock; enabled and disabled browser states passed",3ec19c7a9e102f01d756e0fd64e68511639bb1f2b36c40aa18e2014bfe2c6f98,VERIFIED
EV-0042,06,2026-08-28T10:49:30+08:00,Host asset readonly projection,integration 4a17237a,Web tests and Playwright CLI,"default-off Host lineage projection; no copy upload or Film approval elevation; canonical local media and symlink escape gates passed",d7e0f9de0ab6953073ff16fc3962d437fab9fbae2daad1215b8e0cbb940abc59,VERIFIED
EV-0043,PI,2026-08-28T10:49:30+08:00,Stage3 consolidated gates,integration bac96e10,full local regression and browser flag matrix,"Contracts 0.3.0 21 implemented 0 planned; Core 44; Web 602; Canvas Agent 343; Browser rollback passed; external calls zero",bac96e10,VERIFIED
EV-0044,02,2026-08-28T11:54:00+08:00,Stage4 spatial versions,integration deaa72c9,OpenAPI SQLite tests and source review,"SceneTwin Camera Blocking Composition independent UUIDv4 versions; full interaction chain; component precise STALE; Core 50/0",deaa72c9,VERIFIED
EV-0045,05,2026-08-28T11:54:00+08:00,Production Canvas formal create,integration 1174d6e9,Go Web tests and source review,"default-off Human confirmation revision and source hash guards; atomic unique Canvas Link Guard Audit; concurrent replay and rollback passed",1174d6e9,VERIFIED
EV-0046,13,2026-08-28T11:54:00+08:00,real Golden C,integration dfa0440f,temporary FastAPI SQLite HTTP and local fixtures,"SceneTwin V1 to V2; three spatial chains; one declared Prompt STALE; restart backup transaction recovery passed; fallback false; external calls zero",dfa0440f,VERIFIED
EV-0047,PI,2026-08-28T11:54:00+08:00,Production Canvas browser create and rollback,output/playwright/stage4-browser,Playwright CLI plus temporary Host SQLite,"Human gate created exactly 1 Canvas 1 Link 1 Guard 1 Audit; reload reused same ID; flag off removed Film DOM and preserved Host data",6b48478e414630bca02dbd4c6be40483e0bd20cbbf942d30607407dce6ea5adb,VERIFIED
EV-0048,PI,2026-08-28T11:54:00+08:00,Stage4 consolidated gates,integration dfa0440f,full relevant local regression and recovery matrix,"Contracts 0.4.0 23 implemented; Core 50; Golden Python 26; Golden local 6; Backend and Web passed; Agent has one isolated-passing unrelated order gate; external calls zero",dfa0440f,VERIFIED_WITH_KNOWN_UNRELATED_GATE
